graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,method_x,method_y,spearman
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,SILVAN,EXACT,0.9672272592126171
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,SILVAN,BP,0.656074549937295
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,SILVAN,RK,0.6575527770815481
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,SILVAN,ABRA,0.7660594089829454
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,SILVAN,SILVAN,1.0
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,SILVAN,GPU_SIR_BRIDGE,0.7454958090838986
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,GPU_SIR_BRIDGE,EXACT,0.7691586213010487
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,GPU_SIR_BRIDGE,BP,0.5171917950296236
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,GPU_SIR_BRIDGE,RK,0.5103999462445037
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,GPU_SIR_BRIDGE,ABRA,0.5976162438378368
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,GPU_SIR_BRIDGE,SILVAN,0.7454958090838985
Router,real,5022,6258,0.1,503,0.1,51.43339800834656,GPU_SIR_BRIDGE,GPU_SIR_BRIDGE,1.0
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,EXACT,EXACT,1.0
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,EXACT,BP,0.6316983064235394
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,EXACT,RK,0.6925942006832657
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,EXACT,ABRA,0.8571997603866782
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,EXACT,SILVAN,0.860214684373814
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,EXACT,GPU_SIR_BRIDGE,0.8536815521438711
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,BP,EXACT,0.6316983064235394
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,BP,BP,1.0
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,BP,RK,0.596018162842995
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,BP,ABRA,0.5962009273984545
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,BP,SILVAN,0.6533959429657685
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,BP,GPU_SIR_BRIDGE,0.5871828496897009
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,RK,EXACT,0.6925942006832658
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,RK,BP,0.596018162842995
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,RK,RK,1.0
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,RK,ABRA,0.6717090689372714
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,RK,SILVAN,0.7104976016517426
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,RK,GPU_SIR_BRIDGE,0.6505367756052844
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,ABRA,EXACT,0.8571997603866782
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,ABRA,BP,0.5962009273984545
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,ABRA,RK,0.6717090689372716
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,ABRA,ABRA,1.0
Soc-hamsterster,real,2000,16097,0.1,200,0.1,10.512954950332642,ABRA,SILVAN,0.7788000658475591
