graph_name,graph_source,num_nodes,num_edges,epsilon,top_k,top_k_ratio,exact_time,method_x,method_y,spearman
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,EXACT,EXACT,1.0
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,EXACT,BP,0.5294318715681359
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,EXACT,RK,0.5068623790631711
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,EXACT,ABRA,0.7429842222912182
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,EXACT,SILVAN,0.7317767954469812
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,EXACT,GPU_SIR_BRIDGE,0.8536815239723538
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,BP,EXACT,0.5294318715681359
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,BP,BP,1.0
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,BP,RK,0.5335822625691398
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,BP,ABRA,0.46161101638538743
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,BP,SILVAN,0.5308142601000365
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,BP,GPU_SIR_BRIDGE,0.49744456800030157
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,RK,EXACT,0.5068623790631711
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,RK,BP,0.5335822625691399
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,RK,RK,1.0
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,RK,ABRA,0.43241891039501645
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,RK,SILVAN,0.5404143865227734
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,RK,GPU_SIR_BRIDGE,0.4690163216711207
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,ABRA,EXACT,0.7429842222912182
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,ABRA,BP,0.4616110163853874
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,ABRA,RK,0.43241891039501645
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,ABRA,ABRA,1.0
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,ABRA,SILVAN,0.6136012898615221
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,ABRA,GPU_SIR_BRIDGE,0.6819015901185593
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,SILVAN,EXACT,0.7317767954469812
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,SILVAN,BP,0.5308142601000366
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,SILVAN,RK,0.5404143865227734
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,SILVAN,ABRA,0.6136012898615221
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,SILVAN,SILVAN,1.0
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,SILVAN,GPU_SIR_BRIDGE,0.6763342894601396
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,GPU_SIR_BRIDGE,EXACT,0.8536815239723538
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,GPU_SIR_BRIDGE,BP,0.4974445680003017
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,GPU_SIR_BRIDGE,RK,0.46901632167112073
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,GPU_SIR_BRIDGE,ABRA,0.6819015901185593
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,GPU_SIR_BRIDGE,SILVAN,0.6763342894601397
Soc-hamsterster,real,2000,16097,0.2,200,0.1,10.774516344070435,GPU_SIR_BRIDGE,GPU_SIR_BRIDGE,1.0
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,EXACT,EXACT,1.0
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,EXACT,BP,0.6112828362432527
Yeast,real,2375,11693,0.2,238,0.1,12.728102445602417,EXACT,RK,0.5445972877126298
